country,longitude,latitude
Afghanistan,33.93911,7.709953
Albania,41.153332,20.1683309999999
Algeria,28.033886,1.659626
American Samoa,-14.3060204,-170.696181499999
Andorra,	42.506285,	1.52180099999998
Angola,	-11.202692,	17.8738869999999
Antigua and Barbuda,	17.060816,	-61.7964279999999
Argentina,	-38.416097,	-63.6166719999999
Armenia,40.069099,	45.0381889999999
Aruba,	12.52111,	-69.968338
Australia,	-25.274398,	133.775135999999
Austria,	47.516231,	14.550072
Azerbaijan,	40.143105,	47.576927
Bahamas,	25.03428,	-77.3962799999999
Bahrain,	26.0667, 50.5577
Bangladesh,	23.684994,90.356331
Barbados,	13.193887,	-59.543198
Belarus,	53.709807,	27.953389
Belgium,	50.503887,	4.469936
Belize,	7.189877,	-88.49765
Benin,	9.30769,	2.315834
Bermuda,	32.3078,	-64.7505
Bhutan,	27.514162,90.433601
Bolivia,	-16.290154,	-63.588653
Bosnia and Herzegovina,		43.915886,	17.679076
Botswana,	-22.328474,	24.684866
Brazil,-14.235004,	-51.92528
Brunei Darussalam, 4.535277,	114.727669
Bulgaria,	42.733883, 25.48583
Burkina Faso,12.238333,-1.561593
Burundi,	-3.373056,	29.918886
Cabo Verde,15.120142,-23.6051721
Cambodia,	12.565679,	104.990963
Cameroon,	7.369722,12.354722
Canada,	56.130366,	-106.346771
Cayman Islands,	19.3133,	-81.2546
Central African Republic,	6.611111,	20.939444
Chad,	15.454166,	18.732207
Chile,	-35.675147,	-71.542969
China,	35.86166,	104.195397
Colombia,	4.570868,	-74.297333
Comoros,	-11.6455,	43.3333
Congo Dem. Rep,	9.007017,	38.7697892
Congo, Rep,	8.9887752,	38.778213
Costa Rica,	9.748917,	-83.753428
Cote dIvoire,	7.539989,	-5.54708
Croatia,	45.1,	15.2
Cuba,	21.521757,	-77.781167
Curacao,	12.16957,	-68.99002
Cyprus,	35.126413,	33.429859
Czech Republic,	49.817492,	15.472962
Denmark,	56.26392,	9.501785
Djibouti,	11.825138,	42.590275
Dominica,	15.414999,	-61.370976
Dominican Republic,	18.735693,	-70.162651
Ecuador,	-1.831239,	-78.183406
Egypt, 	26.820553,	30.802498
El Salvador,	13.794185,	-88.89653
Equatorial Guinea,	1.650801,	10.267895
Eritrea,	15.179384,	39.782334
Estonia,	58.595272,	25.013607
Ethiopia,	9.145,	40.489673
Faeroe Islands,	61.892635,	-6.911806
Fiji,	-17.713371,	178.065032
Finland,	61.92411,	25.748151
France,	46.227638,	2.213749
French Polynesia,	-17.679742,	-149.406843
Gabon,	-0.803689,	11.609444
Gambia,	13.443182,	-15.310139
Georgia,	42.315407,	43.356892
Germany,	51.165691,	10.451526
Ghana,	7.946527,	-1.023194
Greece,	39.074208,	21.824312
Greenland,	71.706936,	-42.604303
Grenada,	12.1165,	-61.679
Guam,	13.444304,	144.793731
Guatemala,	15.783471,	-90.230759
Guinea,	9.945587,	-9.696645
Guinea-Bissau,	11.803749,	-15.180413
Guyana,	4.860416,	-58.93018
Haiti,	18.971187,	-72.285215
Honduras,	15.199999,	-86.241905
Hong Kong SAR China,	22.396428,	114.109497
Hungary,	47.162494,	19.503304
Iceland,	64.963051,	-19.020835
India,	20.593684,	78.96288
Indonesia,	-0.789275,	113.921327
Iran Islamic Rep,	32.427908,	53.688046
Iraq,	33.223191,	43.679291
Ireland,	53.41291,	-8.24389
Isle of Man,	54.236107,	-4.548056
Israel,	31.046051,	34.851612
Italy,	41.87194,	12.56738
Jamaica,	40.702677,	-73.7889689
Japan,	36.204824,	138.252924
Jordan,	30.585164,	36.238414
Kazakhstan,	48.019573,	66.923684
Kenya,	-0.023559,	37.906193
Kiribati,	1.8708833,	-157.3630262
Korea Dem. Rep,	40.339852,	127.510093
Korea Rep,	35.907757,	127.766922
Kuwait,	29.31166,	47.481766
Kyrgyz Republic,	41.20438,	74.766098
Lao PDR,	19.85627,	102.495496
Latvia,	56.879635,	24.603189
Lebanon,	33.854721,	35.862285
Lesotho,	-29.609988,	28.233608
Liberia,	6.428055,	-9.429499
Libya,	26.3351,	17.228331
Liechtenstein,	47.166,	9.555373
Lithuania,	55.169438,	23.881275
Luxembourg,	49.815273,	6.129583
Macao SAR China,	22.198745,	113.543873
Macedonia FYR,	41.608635,	21.745275
Madagascar,	-18.766947,	46.869107
Malawi,	-13.254308,	34.301525
Malaysia,	4.210484,	101.975766
Maldives,	1.977247,	73.5361034
Mali,	17.570692,	-3.996166
Malta,	35.937496,	14.375416
Marshall Islands,	6.0683936,	171.989379
Mauritania,	21.00789,	-10.940835
Mauritius,	-20.348404,	57.552152
Mexico,	39.1730652,	-91.887271
Micronesia Fed. Sts,	6.8874813,	158.2150717
Moldova,	47.411631,	28.369885
Monaco,	43.7384176,	7.4246158
Mongolia,	46.862496,	103.846656
